Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Aguascalientes,26009,29255,28309,32601,27458,30973,42093,32602,98184,88425,125712,108924,105285,93726,124124,142513,130126,137069,131152,110141,52083,87834,99515
     Baja California,62837,67355,64090,90481,56642,59385,126909,77600,82561,97274,122762,164273,205494,202891,213716,227494,192958,237189,247658,228266,106488,196435,230985
     Baja California Sur,13967,14736,14053,15426,25272,23093,33082,25826,50348,48486,82865,81929,93480,95907,68300,70706,67495,67003,66833,56692,25914,46255,88349
     Campeche,17871,18326,18987,29797,24363,25001,35237,23728,29947,36664,58523,60446,59448,53828,56491,60814,60594,56203,52525,54732,29533,51356,63968
     Coahuila ,53247,61285,78064,110003,107070,113961,192351,107601,182500,198804,222388,233023,242627,239684,230789,277211,270956,291940,296524,302895,120491,244155,285188
     Colima,24920,25590,19364,18299,20187,22108,29057,14985,21498,28315,36996,32394,41447,36536,29712,33503,36224,40639,39239,36620,21125,30176,36006
     Chiapas,30634,38264,37515,46430,20628,19235,43568,44702,71575,73009,71881,59512,63366,64864,59747,69461,62197,67236,72671,72771,33495,58078,68749
     Chihuahua,87122,86720,107589,131382,77613,88882,128243,99741,140363,135309,130411,175581,208354,198166,204922,204631,191912,191919,196931,184509,81977,161079,205932
Distrito Federal,289812,305001,328870,465639,269041,282981,371301,335160,628012,824069,820369,757658,823862,820723,820993,723266,694109,690402,730395,685751,374704,614502,281508
     Durango,32888,36336,39609,46698,32225,42573,57022,43072,53606,101518,113075,118291,123105,108450,92565,84145,72301,85799,96043,97780,53215,89910,62025
     Guanajuato,111654,117540,102281,165082,132350,152358,259246,176933,223866,286540,324005,304102,388383,348669,188723,171839,172930,170224,182747,153933,85475,159326,99477
     Guerrero,33401,33616,48561,52589,42512,54598,90250,64752,62281,68251,71011,74562,75298,79030,80788,88128,75951,81210,73223,66161,34417,51854,410565
     Hidalgo,31665,27052,32396,104918,49062,29724,47860,38129,44903,50270,78048,106285,121366,99936,94305,99406,83931,89350,66740,92623,43550,81516,511400
     Jalisco,151239,149913,163406,179517,114617,166196,271393,209892,342943,303022,358646,363045,408694,391995,383521,364619,372552,407902,484178,426830,244024,318162,174745
México,238434,263833,273953,445484,258914,257037,404457,340575,427621,572570,735500,732928,804875,679783,671891,611090,538560,582836,623589,653633,376392,512465,245028
     Michoacán,63379,59922,54511,86673,60521,65733,110792,74332,93627,85466,113879,168381,217888,210565,197571,214700,200534,203720,181222,150448,90206,129341,96200
     Morelos,42429,40785,36530,51254,39942,26286,43012,40773,56474,75909,82798,80392,94016,90759,85564,74625,94652,92857,100184,89839,62474,88686,790252
     Nayarit,21301,21418,21221,21435,32546,28091,44748,50440,52290,48175,56079,75436,78089,73383,74731,73416,70219,72140,62888,68191,40650,67277,62763
     Nuevo León,149235,151800,176144,282591,144257,172788,296301,143201,449018,439931,569132,566259,621274,603381,507895,527647,549588,669868,661657,764723,470485,714623,330571
     Oaxaca,39203,39087,36316,33636,24671,18841,32623,22202,36174,36752,45274,55552,54982,54792,59433,59175,59852,62944,67107,67719,29882,52182,125094
     Puebla,82622,79210,79376,105728,127540,66484,92100,96590,240554,198685,223797,211127,222167,204463,193141,227876,224881,232335,241983,270773,174760,285889,79669
     Querétaro,27021,28728,32141,88796,63193,43215,79638,77426,114534,100970,121116,122070,131458,156659,159683,142242,129973,143316,139185,119201,64331,96296,173258
     Quintana Roo,27419,26894,27423,33472,25182,23544,48538,38507,48785,76033,77902,57424,67157,67724,62018,71886,75513,92217,93092,85419,43514,66009,164346
     San Luis Potosí,40457,55963,76918,69674,59930,79321,93712,96344,136981,132111,157151,152959,157535,155819,178012,172686,191581,177168,165369,142576,93062,150145,199350
     Sinaloa,86933,99320,93196,93278,83726,67794,108822,71431,89382,108772,129374,170996,170059,164226,154091,185853,158893,180760,190437,176867,79151,127639,72097
     Sonora,53320,54691,62975,70603,43932,46609,93483,61701,73608,89417,80200,96971,141732,178964,206055,248149,243113,247916,233318,225195,105208,181940,182179
     Tabasco,20408,27576,26517,36396,20514,28911,42402,42606,60363,64434,69776,69700,96576,97800,96497,83517,77579,82508,79090,77269,31500,61027,55782
     Tamaulipas,91848,93449,125356,117465,106248,97420,138342,74066,120738,119719,168315,137028,163402,157174,164568,181036,190378,200415,218980,233849,92000,159169,166157
     Tlaxcala,21906,25437,28348,27892,16631,14353,21145,22790,27533,32227,40549,54310,53746,54056,57169,59977,62688,67012,66888,56719,39402,49637,144387
Veracruz,171894,152584,158525,222878,170119,154781,222920,234583,347550,341555,418388,429598,489772,483059,436810,504634,431137,439821,433615,413003,219815,287718,177580
     Yucatán,38885,37366,40445,55261,42185,51206,82446,51645,88210,92371,119822,109279,113812,119008,111119,98894,123438,120473,129172,126031,54166,105169,195967
     Zacatecas,18015,21904,21088,24056,32645,29042,33239,21604,26112,27573,37151,35629,41864,45586,43498,39783,35900,43874,40553,39835,19422,32228,497698
