Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Aguascalientes,20973,19812,24526,20183,1713,1792,2174,105,1523,2071,1737,1783,1110,1431,2534,2759,2805,1133,628,814,443,1826,2230
     Baja California,47963,42791,40249,36061,3956,6547,11232,119,252,765,1335,1456,1159,1213,1063,826,969,844,1127,662,290,5164,7044
     Baja California Sur,3752,3637,4029,3687,2302,1997,3016,7,165,216,1431,915,1596,1538,1182,732,890,514,277,94,111,1145,3393
     Campeche,9313,10836,8545,7896,2283,2193,4851,2,0,0,12,184,556,964,1000,1077,1944,1035,343,398,543,1514,1610
     Coahuila ,59060,59902,47464,47665,5782,5538,24975,820,4248,3885,5115,4757,4799,4597,3274,3511,3601,3424,2717,2411,438,6853,8824
     Colima,18791,18575,14695,11368,1532,605,3292,600,3234,4327,3848,3218,651,1050,1123,1457,1305,72,425,455,134,537,754
     Chiapas,15164,12140,14905,17406,679,203,3305,57,3,20,11,19,1,9,69,110,56,411,196,13,8,2577,3473
     Chihuahua,107046,104960,77485,76886,3593,7614,22235,1296,1283,544,743,425,369,569,1456,479,231,97,112,86,368,2718,3425
Distrito Federal,182618,180823,164137,121978,7259,5321,26391,308,2051,2751,2962,3059,4738,5430,4179,3709,2621,2169,1154,745,282,2519,12030
     Durango,28688,32525,25097,24167,5707,1399,2649,69,527,407,314,371,38,28,165,100,309,142,96,149,256,2006,332
     Guanajuato,58669,52671,51450,46620,5347,8035,15679,233,2838,4784,5208,2565,1232,1381,905,545,2723,5228,3731,1354,635,5839,3332
     Guerrero,20138,18609,15172,17658,1482,3882,10249,105,157,303,171,255,357,322,384,300,45,13,12,9,6,362,10931
     Hidalgo,10292,16253,8136,7825,1293,689,4972,26,230,313,1132,1506,1452,834,1767,1122,685,240,231,182,177,3017,14007
     Jalisco,100842,97023,75036,60601,13566,10579,25470,2532,6797,6437,6648,6935,4718,4264,4924,3291,2549,2103,1921,1725,1591,8442,3302
México,137772,137010,110007,116445,17768,15458,34982,1971,4007,5181,6738,4819,4918,5050,3868,4212,3042,2041,1667,1319,970,8220,4960
     Michoacán,28655,24588,21654,22573,3756,12200,18074,298,4196,1360,2671,2304,861,543,439,420,341,348,290,261,166,2165,2347
     Morelos,17633,16065,13209,14889,1408,357,3193,3196,1216,884,566,41,50,50,97,31,14,3,6,2,118,2889,10231
     Nayarit,9576,7232,6211,5373,986,1328,9694,1308,1262,1510,3206,3684,4710,4971,4377,2973,1994,1001,423,419,354,1663,3814
     Nuevo León,111346,97268,84221,99209,9701,4785,33849,2086,5941,13005,8989,8521,12064,15103,11507,13356,11197,12074,9845,5896,3770,6996,5920
     Oaxaca,30893,26806,23907,18463,2036,785,2793,280,664,525,1043,1599,1018,877,1219,1155,872,467,143,60,110,2952,4638
     Puebla,40849,40244,29694,25420,8465,6529,8568,1224,8919,9830,7904,7713,9424,8015,5577,6438,5166,4056,3459,4836,4452,4378,6350
     Querétaro,31905,27905,29174,32746,7177,8286,33568,1450,2619,2000,609,652,300,48,36,74,60,86,39,9,1,2633,5710
     Quintana Roo,24644,19108,18811,22768,3237,2840,4270,912,528,766,425,465,8,1,2,3,7,4,8,11,49,6502,4596
     San Luis Potosí,23294,23515,22107,21688,2567,2739,5020,108,94,29,42,283,652,680,1180,1478,1000,1054,1231,110,71,3512,4957
     Sinaloa,39226,37427,35380,36892,5453,2799,15768,192,222,338,163,115,197,981,617,1255,1337,275,42,184,38,2863,1631
     Sonora,38432,43041,30306,28563,4758,3238,3613,291,418,534,570,430,363,195,184,2220,2617,2913,3132,2126,1331,4050,8534
     Tabasco,7678,5955,8568,7402,714,963,5449,587,227,348,520,325,3279,8063,6245,5270,4681,2704,1789,1420,588,1036,1583
     Tamaulipas,58755,55075,50024,43839,9565,5602,18746,634,5926,7099,5605,5321,5282,5248,3902,2468,2199,1887,1480,1453,600,8910,6399
     Tlaxcala,14342,14731,11124,9055,883,397,3362,300,501,115,55,94,92,58,332,234,144,143,90,41,122,1407,1198
Veracruz,101690,93279,69721,65746,11828,14501,16451,3618,8671,13191,12093,9033,6446,7309,6425,6174,3969,2690,2872,2473,1144,5959,3575
     Yucatán,22247,18919,16902,19001,6822,7325,9550,482,34,32,23,22,263,20,43,65,141,152,84,27,84,3148,113
     Zacatecas,21210,18761,18667,13589,2338,1313,1542,107,1184,771,769,2084,52,103,103,141,76,95,37,12,3,417,3160
