Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Aguascalientes,7349,6904,5582,5262,15794,9258,27562,5831,29612,50467,45837,35206,6258,1732,1865,1676,2547,3479,1741,3096,1733,662,3018
     Baja California,11284,12771,9594,7872,4199,3320,30539,68848,51793,24841,26513,33866,28976,8794,6801,10334,10607,46316,32008,41998,17618,19279,19537
     Baja California Sur,3366,3546,2528,2501,2665,1840,10945,14031,11888,9773,4449,3652,3163,4078,3588,2883,2249,2666,4850,5679,2485,3541,3470
     Campeche,3515,3766,3682,2930,1743,3062,10546,3814,1441,1574,3283,1502,6329,1789,301,408,5807,3257,609,575,170,542,345
     Coahuila ,18730,14460,16324,15694,5522,20138,118913,51025,112979,44718,40249,26786,18778,11206,8535,13483,15454,14654,14868,14892,5366,14605,13611
     Colima,5338,5111,4052,3325,4283,1412,7003,3375,8019,11016,17278,10062,3522,2617,1366,2190,2360,955,850,1267,896,256,869
     Chiapas,10897,10934,9165,6085,1817,1332,41780,19330,9318,5945,2149,1381,5930,3669,3245,1383,1056,2915,6722,11345,6009,5303,6629
     Chihuahua,30410,29238,23865,18634,3168,7386,66324,76575,58107,49006,40562,56452,52621,43226,22612,13423,12402,50037,88092,88212,38545,50160,79957
Distrito Federal,52578,42238,33457,28383,13688,41542,179073,177044,199485,417953,344832,102061,104207,133164,107003,115210,103204,104512,103470,84947,52420,73527,16766
     Durango,10237,10011,9641,9118,4142,5728,52377,99583,113279,32655,20632,30508,15112,11915,5971,4916,5546,5462,4883,4254,1954,1247,1196
     Guanajuato,16251,15619,12874,13282,5917,21476,87520,101122,42678,42660,117930,44253,27895,21184,15484,15628,16356,17973,19837,12403,7080,11274,12880
     Guerrero,11560,14736,9710,7773,4323,9896,14844,6137,8434,6514,8706,9285,7992,12977,7418,5610,6724,8978,6093,6664,2239,891,68003
     Hidalgo,6128,6848,7697,6317,895,614,34917,21121,17463,13651,13647,4189,2638,4405,4687,8328,8947,10734,9831,12263,7225,13578,27829
     Jalisco,34792,35593,26199,24278,14903,15855,104611,115167,180844,217409,189142,177457,166430,114511,95889,108130,138630,170588,175719,121710,57183,45595,3058
México,41576,34798,25537,31751,17370,24617,155950,186979,122588,49251,45009,45039,49989,41529,26499,26372,27518,59134,69841,80267,60539,61456,16798
     Michoacán,10299,9269,9015,7419,2558,4648,21799,12240,25947,20856,16184,22481,24107,33180,38988,34177,27046,21352,12410,9159,5539,8840,8682
     Morelos,11630,10323,7357,4945,1798,2132,20100,20527,7236,19077,23940,19181,11314,4684,4275,1182,2155,1509,1036,658,455,684,48190
     Nayarit,6559,5464,3643,2497,750,1078,12283,14856,6813,2691,11556,20964,16733,2270,1663,1273,1527,7861,6784,6616,2177,3362,3630
     Nuevo León,29978,31978,26265,27700,12254,24626,82543,48348,88458,87622,70051,68060,68077,72207,81424,63523,60268,42874,85966,107252,72886,42544,4704
     Oaxaca,7546,8803,7693,3733,2110,732,2048,1924,5100,6247,4846,4564,770,396,195,614,4863,11044,11680,9465,1631,1477,1950
     Puebla,13154,11443,9153,8034,17595,18974,30416,16331,34156,21642,25270,13338,3916,3885,3170,3131,3894,46898,74244,31803,8124,6357,6709
     Querétaro,7586,6721,5666,6418,6454,4214,32416,9382,11039,17709,35221,39070,5707,2261,4699,7779,3824,2740,1758,5125,3824,844,41784
     Quintana Roo,4869,3453,3776,3705,2311,3651,13184,5110,7208,10401,10088,6829,7870,1755,1070,512,6574,77979,30543,20257,8826,11186,2329
     San Luis Potosí,8731,8184,9173,2603,2172,10174,42062,40966,52779,34010,18778,13692,7227,11340,14479,19608,15279,13946,15913,22756,11748,17653,2194
     Sinaloa,16980,14523,12861,12162,6047,19289,24492,18837,22243,35270,52027,68091,57474,42496,26193,13774,13898,17064,13404,11893,3470,1643,545
     Sonora,13196,13145,8271,10102,5333,3972,27540,22104,38364,37776,28356,23003,5376,4954,8315,10094,4041,10358,12631,5978,3372,3240,17707
     Tabasco,4353,6463,5103,3449,1107,5385,11007,18626,11271,13283,8375,4538,4037,3587,2461,2118,1271,1469,2434,2476,1134,704,298
     Tamaulipas,24888,26046,19636,16074,7528,12469,18835,15135,15478,19427,20723,10536,11034,9266,8181,8601,8782,21022,19648,23205,9043,14213,8767
     Tlaxcala,2497,4094,3302,2271,333,263,5422,3192,874,932,3226,1987,1032,665,545,350,530,1032,623,478,710,892,2037
Veracruz,39600,38316,31811,31587,16898,20342,158146,325088,326807,150710,169007,126365,130049,129092,106678,132073,118540,91004,92732,90482,29220,8978,16568
     Yucatán,4311,4319,2858,3715,1864,2070,10974,3879,6233,7026,12156,3714,1868,2571,3227,759,2353,2490,4588,3323,2359,4735,5209
     Zacatecas,4181,5282,4341,3147,829,469,2903,2103,2999,3020,3472,4022,1217,841,650,441,522,601,494,750,352,1171,113943
