Año,Enfermedad,Casos,Delegacion
2000,Sifilis,20973,Aguascalientes
2000,Sifilis,47963,Baja California
2000,Sifilis,3752,Baja California Sur
2000,Sifilis,9313,Campeche
2000,Sifilis,59060,Coahuila
2000,Sifilis,18791,Colima
2000,Sifilis,15164,Chiapas
2000,Sifilis,107046,Chihuahua
2000,Sifilis,182618,Distrito Federal
2000,Sifilis,28688,Durango
2000,Sifilis,58669,Guanajuato
2000,Sifilis,20138,Guerrero
2000,Sifilis,10292,Hidalgo
2000,Sifilis,100842,Jalisco
2000,Sifilis,137772,México
2000,Sifilis,28655,Michoacán
2000,Sifilis,17633,Morelos
2000,Sifilis,9576,Nayarit
2000,Sifilis,111346,Nuevo León
2000,Sifilis,30893,Oaxaca
2000,Sifilis,40849,Puebla
2000,Sifilis,31905,Querétaro
2000,Sifilis,24644,Quintana Roo
2000,Sifilis,23294,San Luis Potosí
2000,Sifilis,39226,Sinaloa
2000,Sifilis,38432,Sonora
2000,Sifilis,7678,Tabasco
2000,Sifilis,58755,Tamaulipas
2000,Sifilis,14342,Tlaxcala
2000,Sifilis,101690,Veracruz
2000,Sifilis,22247,Yucatán
2000,Sifilis,21210,Zacatecas
2001,Sifilis,19812,Aguascalientes
2001,Sifilis,42791,Baja California
2001,Sifilis,3637,Baja California Sur
2001,Sifilis,10836,Campeche
2001,Sifilis,59902,Coahuila
2001,Sifilis,18575,Colima
2001,Sifilis,12140,Chiapas
2001,Sifilis,104960,Chihuahua
2001,Sifilis,180823,Distrito Federal
2001,Sifilis,32525,Durango
2001,Sifilis,52671,Guanajuato
2001,Sifilis,18609,Guerrero
2001,Sifilis,16253,Hidalgo
2001,Sifilis,97023,Jalisco
2001,Sifilis,137010,México
2001,Sifilis,24588,Michoacán
2001,Sifilis,16065,Morelos
2001,Sifilis,7232,Nayarit
2001,Sifilis,97268,Nuevo León
2001,Sifilis,26806,Oaxaca
2001,Sifilis,40244,Puebla
2001,Sifilis,27905,Querétaro
2001,Sifilis,19108,Quintana Roo
2001,Sifilis,23515,San Luis Potosí
2001,Sifilis,37427,Sinaloa
2001,Sifilis,43041,Sonora
2001,Sifilis,5955,Tabasco
2001,Sifilis,55075,Tamaulipas
2001,Sifilis,14731,Tlaxcala
2001,Sifilis,93279,Veracruz
2001,Sifilis,18919,Yucatán
2001,Sifilis,18761,Zacatecas
2002,Sifilis,24526,Aguascalientes
2002,Sifilis,40249,Baja California
2002,Sifilis,4029,Baja California Sur
2002,Sifilis,8545,Campeche
2002,Sifilis,47464,Coahuila
2002,Sifilis,14695,Colima
2002,Sifilis,14905,Chiapas
2002,Sifilis,77485,Chihuahua
2002,Sifilis,164137,Distrito Federal
2002,Sifilis,25097,Durango
2002,Sifilis,51450,Guanajuato
2002,Sifilis,15172,Guerrero
2002,Sifilis,8136,Hidalgo
2002,Sifilis,75036,Jalisco
2002,Sifilis,110007,México
2002,Sifilis,21654,Michoacán
2002,Sifilis,13209,Morelos
2002,Sifilis,6211,Nayarit
2002,Sifilis,84221,Nuevo León
2002,Sifilis,23907,Oaxaca
2002,Sifilis,29694,Puebla
2002,Sifilis,29174,Querétaro
2002,Sifilis,18811,Quintana Roo
2002,Sifilis,22107,San Luis Potosí
2002,Sifilis,35380,Sinaloa
2002,Sifilis,30306,Sonora
2002,Sifilis,8568,Tabasco
2002,Sifilis,50024,Tamaulipas
2002,Sifilis,11124,Tlaxcala
2002,Sifilis,69721,Veracruz
2002,Sifilis,16902,Yucatán
2002,Sifilis,18667,Zacatecas
2003,Sifilis,20183,Aguascalientes
2003,Sifilis,36061,Baja California
2003,Sifilis,3687,Baja California Sur
2003,Sifilis,7896,Campeche
2003,Sifilis,47665,Coahuila
2003,Sifilis,11368,Colima
2003,Sifilis,17406,Chiapas
2003,Sifilis,76886,Chihuahua
2003,Sifilis,121978,Distrito Federal
2003,Sifilis,24167,Durango
2003,Sifilis,46620,Guanajuato
2003,Sifilis,17658,Guerrero
2003,Sifilis,7825,Hidalgo
2003,Sifilis,60601,Jalisco
2003,Sifilis,116445,México
2003,Sifilis,22573,Michoacán
2003,Sifilis,14889,Morelos
2003,Sifilis,5373,Nayarit
2003,Sifilis,99209,Nuevo León
2003,Sifilis,18463,Oaxaca
